DateSRKey,Date,DateKey,Year,Quarter,Month,MonthName,WeekOfYear,Day,DayName,YearMonth
40,2008-02-09,20080209,2008,1,2,February,6,9,Saturday,2008-02
41,2008-02-10,20080210,2008,1,2,February,6,10,Sunday,2008-02
42,2008-02-11,20080211,2008,1,2,February,7,11,Monday,2008-02
43,2008-02-12,20080212,2008,1,2,February,7,12,Tuesday,2008-02
44,2008-02-13,20080213,2008,1,2,February,7,13,Wednesday,2008-02
45,2008-02-14,20080214,2008,1,2,February,7,14,Thursday,2008-02
46,2008-02-15,20080215,2008,1,2,February,7,15,Friday,2008-02
47,2008-02-16,20080216,2008,1,2,February,7,16,Saturday,2008-02
48,2008-02-17,20080217,2008,1,2,February,7,17,Sunday,2008-02
49,2008-02-18,20080218,2008,1,2,February,8,18,Monday,2008-02
50,2008-02-19,20080219,2008,1,2,February,8,19,Tuesday,2008-02
51,2008-02-20,20080220,2008,1,2,February,8,20,Wednesday,2008-02
52,2008-02-21,20080221,2008,1,2,February,8,21,Thursday,2008-02
53,2008-02-22,20080222,2008,1,2,February,8,22,Friday,2008-02
54,2008-02-23,20080223,2008,1,2,February,8,23,Saturday,2008-02
55,2008-02-24,20080224,2008,1,2,February,8,24,Sunday,2008-02
56,2008-02-25,20080225,2008,1,2,February,9,25,Monday,2008-02
57,2008-02-26,20080226,2008,1,2,February,9,26,Tuesday,2008-02
58,2008-02-27,20080227,2008,1,2,February,9,27,Wednesday,2008-02
59,2008-02-28,20080228,2008,1,2,February,9,28,Thursday,2008-02
60,2008-02-29,20080229,2008,1,2,February,9,29,Friday,2008-02
61,2008-03-01,20080301,2008,1,3,March,9,1,Saturday,2008-03
62,2008-03-02,20080302,2008,1,3,March,9,2,Sunday,2008-03
63,2008-03-03,20080303,2008,1,3,March,10,3,Monday,2008-03
64,2008-03-04,20080304,2008,1,3,March,10,4,Tuesday,2008-03
65,2008-03-05,20080305,2008,1,3,March,10,5,Wednesday,2008-03
66,2008-03-06,20080306,2008,1,3,March,10,6,Thursday,2008-03
67,2008-03-07,20080307,2008,1,3,March,10,7,Friday,2008-03
68,2008-03-08,20080308,2008,1,3,March,10,8,Saturday,2008-03
69,2008-03-09,20080309,2008,1,3,March,10,9,Sunday,2008-03
70,2008-03-10,20080310,2008,1,3,March,11,10,Monday,2008-03
71,2008-03-11,20080311,2008,1,3,March,11,11,Tuesday,2008-03
72,2008-03-12,20080312,2008,1,3,March,11,12,Wednesday,2008-03
73,2008-03-13,20080313,2008,1,3,March,11,13,Thursday,2008-03
74,2008-03-14,20080314,2008,1,3,March,11,14,Friday,2008-03
75,2008-03-15,20080315,2008,1,3,March,11,15,Saturday,2008-03
76,2008-03-16,20080316,2008,1,3,March,11,16,Sunday,2008-03
77,2008-03-17,20080317,2008,1,3,March,12,17,Monday,2008-03
78,2008-03-18,20080318,2008,1,3,March,12,18,Tuesday,2008-03
79,2008-03-19,20080319,2008,1,3,March,12,19,Wednesday,2008-03
80,2008-03-20,20080320,2008,1,3,March,12,20,Thursday,2008-03
81,2008-03-21,20080321,2008,1,3,March,12,21,Friday,2008-03
82,2008-03-22,20080322,2008,1,3,March,12,22,Saturday,2008-03
83,2008-03-23,20080323,2008,1,3,March,12,23,Sunday,2008-03
84,2008-03-24,20080324,2008,1,3,March,13,24,Monday,2008-03
85,2008-03-25,20080325,2008,1,3,March,13,25,Tuesday,2008-03
86,2008-03-26,20080326,2008,1,3,March,13,26,Wednesday,2008-03
87,2008-03-27,20080327,2008,1,3,March,13,27,Thursday,2008-03
88,2008-03-28,20080328,2008,1,3,March,13,28,Friday,2008-03
89,2008-03-29,20080329,2008,1,3,March,13,29,Saturday,2008-03
90,2008-03-30,20080330,2008,1,3,March,13,30,Sunday,2008-03
91,2008-03-31,20080331,2008,1,3,March,14,31,Monday,2008-03
92,2008-04-01,20080401,2008,2,4,April,14,1,Tuesday,2008-04
93,2008-04-02,20080402,2008,2,4,April,14,2,Wednesday,2008-04
94,2008-04-03,20080403,2008,2,4,April,14,3,Thursday,2008-04
95,2008-04-04,20080404,2008,2,4,April,14,4,Friday,2008-04
96,2008-04-05,20080405,2008,2,4,April,14,5,Saturday,2008-04
97,2008-04-06,20080406,2008,2,4,April,14,6,Sunday,2008-04
98,2008-04-07,20080407,2008,2,4,April,15,7,Monday,2008-04
99,2008-04-08,20080408,2008,2,4,April,15,8,Tuesday,2008-04
100,2008-04-09,20080409,2008,2,4,April,15,9,Wednesday,2008-04
101,2008-04-10,20080410,2008,2,4,April,15,10,Thursday,2008-04
102,2008-04-11,20080411,2008,2,4,April,15,11,Friday,2008-04
103,2008-04-12,20080412,2008,2,4,April,15,12,Saturday,2008-04
104,2008-04-13,20080413,2008,2,4,April,15,13,Sunday,2008-04
105,2008-04-14,20080414,2008,2,4,April,16,14,Monday,2008-04
106,2008-04-15,20080415,2008,2,4,April,16,15,Tuesday,2008-04
107,2008-04-16,20080416,2008,2,4,April,16,16,Wednesday,2008-04
108,2008-04-17,20080417,2008,2,4,April,16,17,Thursday,2008-04
109,2008-04-18,20080418,2008,2,4,April,16,18,Friday,2008-04
110,2008-04-19,20080419,2008,2,4,April,16,19,Saturday,2008-04
111,2008-04-20,20080420,2008,2,4,April,16,20,Sunday,2008-04
112,2008-04-21,20080421,2008,2,4,April,17,21,Monday,2008-04
113,2008-04-22,20080422,2008,2,4,April,17,22,Tuesday,2008-04
114,2008-04-23,20080423,2008,2,4,April,17,23,Wednesday,2008-04
115,2008-04-24,20080424,2008,2,4,April,17,24,Thursday,2008-04
116,2008-04-25,20080425,2008,2,4,April,17,25,Friday,2008-04
117,2008-04-26,20080426,2008,2,4,April,17,26,Saturday,2008-04
118,2008-04-27,20080427,2008,2,4,April,17,27,Sunday,2008-04
119,2008-04-28,20080428,2008,2,4,April,18,28,Monday,2008-04
120,2008-04-29,20080429,2008,2,4,April,18,29,Tuesday,2008-04
121,2008-04-30,20080430,2008,2,4,April,18,30,Wednesday,2008-04
122,2008-05-01,20080501,2008,2,5,May,18,1,Thursday,2008-05
123,2008-05-02,20080502,2008,2,5,May,18,2,Friday,2008-05
124,2008-05-03,20080503,2008,2,5,May,18,3,Saturday,2008-05
125,2008-05-04,20080504,2008,2,5,May,18,4,Sunday,2008-05
126,2008-05-05,20080505,2008,2,5,May,19,5,Monday,2008-05
127,2008-05-06,20080506,2008,2,5,May,19,6,Tuesday,2008-05
128,2008-05-07,20080507,2008,2,5,May,19,7,Wednesday,2008-05
129,2008-05-08,20080508,2008,2,5,May,19,8,Thursday,2008-05
130,2008-05-09,20080509,2008,2,5,May,19,9,Friday,2008-05
131,2008-05-10,20080510,2008,2,5,May,19,10,Saturday,2008-05
132,2008-05-11,20080511,2008,2,5,May,19,11,Sunday,2008-05
133,2008-05-12,20080512,2008,2,5,May,20,12,Monday,2008-05
134,2008-05-13,20080513,2008,2,5,May,20,13,Tuesday,2008-05
135,2008-05-14,20080514,2008,2,5,May,20,14,Wednesday,2008-05
136,2008-05-15,20080515,2008,2,5,May,20,15,Thursday,2008-05
137,2008-05-16,20080516,2008,2,5,May,20,16,Friday,2008-05
138,2008-05-17,20080517,2008,2,5,May,20,17,Saturday,2008-05
139,2008-05-18,20080518,2008,2,5,May,20,18,Sunday,2008-05
140,2008-05-19,20080519,2008,2,5,May,21,19,Monday,2008-05
141,2008-05-20,20080520,2008,2,5,May,21,20,Tuesday,2008-05
142,2008-05-21,20080521,2008,2,5,May,21,21,Wednesday,2008-05
143,2008-05-22,20080522,2008,2,5,May,21,22,Thursday,2008-05
144,2008-05-23,20080523,2008,2,5,May,21,23,Friday,2008-05
145,2008-05-24,20080524,2008,2,5,May,21,24,Saturday,2008-05
146,2008-05-25,20080525,2008,2,5,May,21,25,Sunday,2008-05
147,2008-05-26,20080526,2008,2,5,May,22,26,Monday,2008-05
148,2008-05-27,20080527,2008,2,5,May,22,27,Tuesday,2008-05
149,2008-05-28,20080528,2008,2,5,May,22,28,Wednesday,2008-05
150,2008-05-29,20080529,2008,2,5,May,22,29,Thursday,2008-05
151,2008-05-30,20080530,2008,2,5,May,22,30,Friday,2008-05
152,2008-05-31,20080531,2008,2,5,May,22,31,Saturday,2008-05
153,2008-06-01,20080601,2008,2,6,June,22,1,Sunday,2008-06
154,2008-06-02,20080602,2008,2,6,June,23,2,Monday,2008-06
155,2008-06-03,20080603,2008,2,6,June,23,3,Tuesday,2008-06
156,2008-06-04,20080604,2008,2,6,June,23,4,Wednesday,2008-06
157,2008-06-05,20080605,2008,2,6,June,23,5,Thursday,2008-06
158,2008-06-06,20080606,2008,2,6,June,23,6,Friday,2008-06
159,2008-06-07,20080607,2008,2,6,June,23,7,Saturday,2008-06
160,2008-06-08,20080608,2008,2,6,June,23,8,Sunday,2008-06
161,2008-06-09,20080609,2008,2,6,June,24,9,Monday,2008-06
162,2008-06-10,20080610,2008,2,6,June,24,10,Tuesday,2008-06
163,2008-06-11,20080611,2008,2,6,June,24,11,Wednesday,2008-06
164,2008-06-12,20080612,2008,2,6,June,24,12,Thursday,2008-06
165,2008-06-13,20080613,2008,2,6,June,24,13,Friday,2008-06
166,2008-06-14,20080614,2008,2,6,June,24,14,Saturday,2008-06
167,2008-06-15,20080615,2008,2,6,June,24,15,Sunday,2008-06
168,2008-06-16,20080616,2008,2,6,June,25,16,Monday,2008-06
169,2008-06-17,20080617,2008,2,6,June,25,17,Tuesday,2008-06
170,2008-06-18,20080618,2008,2,6,June,25,18,Wednesday,2008-06
171,2008-06-19,20080619,2008,2,6,June,25,19,Thursday,2008-06
172,2008-06-20,20080620,2008,2,6,June,25,20,Friday,2008-06
173,2008-06-21,20080621,2008,2,6,June,25,21,Saturday,2008-06
174,2008-06-22,20080622,2008,2,6,June,25,22,Sunday,2008-06
175,2008-06-23,20080623,2008,2,6,June,26,23,Monday,2008-06
176,2008-06-24,20080624,2008,2,6,June,26,24,Tuesday,2008-06
177,2008-06-25,20080625,2008,2,6,June,26,25,Wednesday,2008-06
178,2008-06-26,20080626,2008,2,6,June,26,26,Thursday,2008-06
179,2008-06-27,20080627,2008,2,6,June,26,27,Friday,2008-06
180,2008-06-28,20080628,2008,2,6,June,26,28,Saturday,2008-06
181,2008-06-29,20080629,2008,2,6,June,26,29,Sunday,2008-06
182,2008-06-30,20080630,2008,2,6,June,27,30,Monday,2008-06
183,2008-07-01,20080701,2008,3,7,July,27,1,Tuesday,2008-07
184,2008-07-02,20080702,2008,3,7,July,27,2,Wednesday,2008-07
185,2008-07-03,20080703,2008,3,7,July,27,3,Thursday,2008-07
186,2008-07-04,20080704,2008,3,7,July,27,4,Friday,2008-07
187,2008-07-05,20080705,2008,3,7,July,27,5,Saturday,2008-07
188,2008-07-06,20080706,2008,3,7,July,27,6,Sunday,2008-07
189,2008-07-07,20080707,2008,3,7,July,28,7,Monday,2008-07
190,2008-07-08,20080708,2008,3,7,July,28,8,Tuesday,2008-07
191,2008-07-09,20080709,2008,3,7,July,28,9,Wednesday,2008-07
192,2008-07-10,20080710,2008,3,7,July,28,10,Thursday,2008-07
193,2008-07-11,20080711,2008,3,7,July,28,11,Friday,2008-07
194,2008-07-12,20080712,2008,3,7,July,28,12,Saturday,2008-07
195,2008-07-13,20080713,2008,3,7,July,28,13,Sunday,2008-07
196,2008-07-14,20080714,2008,3,7,July,29,14,Monday,2008-07
197,2008-07-15,20080715,2008,3,7,July,29,15,Tuesday,2008-07
198,2008-07-16,20080716,2008,3,7,July,29,16,Wednesday,2008-07
199,2008-07-17,20080717,2008,3,7,July,29,17,Thursday,2008-07
200,2008-07-18,20080718,2008,3,7,July,29,18,Friday,2008-07
201,2008-07-19,20080719,2008,3,7,July,29,19,Saturday,2008-07
202,2008-07-20,20080720,2008,3,7,July,29,20,Sunday,2008-07
203,2008-07-21,20080721,2008,3,7,July,30,21,Monday,2008-07
204,2008-07-22,20080722,2008,3,7,July,30,22,Tuesday,2008-07
205,2008-07-23,20080723,2008,3,7,July,30,23,Wednesday,2008-07
206,2008-07-24,20080724,2008,3,7,July,30,24,Thursday,2008-07
207,2008-07-25,20080725,2008,3,7,July,30,25,Friday,2008-07
208,2008-07-26,20080726,2008,3,7,July,30,26,Saturday,2008-07
209,2008-07-27,20080727,2008,3,7,July,30,27,Sunday,2008-07
210,2008-07-28,20080728,2008,3,7,July,31,28,Monday,2008-07
211,2008-07-29,20080729,2008,3,7,July,31,29,Tuesday,2008-07
212,2008-07-30,20080730,2008,3,7,July,31,30,Wednesday,2008-07
213,2008-07-31,20080731,2008,3,7,July,31,31,Thursday,2008-07
214,2008-08-01,20080801,2008,3,8,August,31,1,Friday,2008-08
215,2008-08-02,20080802,2008,3,8,August,31,2,Saturday,2008-08
216,2008-08-03,20080803,2008,3,8,August,31,3,Sunday,2008-08
217,2008-08-04,20080804,2008,3,8,August,32,4,Monday,2008-08
218,2008-08-05,20080805,2008,3,8,August,32,5,Tuesday,2008-08
219,2008-08-06,20080806,2008,3,8,August,32,6,Wednesday,2008-08
220,2008-08-07,20080807,2008,3,8,August,32,7,Thursday,2008-08
221,2008-08-08,20080808,2008,3,8,August,32,8,Friday,2008-08
222,2008-08-09,20080809,2008,3,8,August,32,9,Saturday,2008-08
223,2008-08-10,20080810,2008,3,8,August,32,10,Sunday,2008-08
224,2008-08-11,20080811,2008,3,8,August,33,11,Monday,2008-08
225,2008-08-12,20080812,2008,3,8,August,33,12,Tuesday,2008-08
226,2008-08-13,20080813,2008,3,8,August,33,13,Wednesday,2008-08
227,2008-08-14,20080814,2008,3,8,August,33,14,Thursday,2008-08
228,2008-08-15,20080815,2008,3,8,August,33,15,Friday,2008-08
229,2008-08-16,20080816,2008,3,8,August,33,16,Saturday,2008-08
230,2008-08-17,20080817,2008,3,8,August,33,17,Sunday,2008-08
231,2008-08-18,20080818,2008,3,8,August,34,18,Monday,2008-08
232,2008-08-19,20080819,2008,3,8,August,34,19,Tuesday,2008-08
233,2008-08-20,20080820,2008,3,8,August,34,20,Wednesday,2008-08
234,2008-08-21,20080821,2008,3,8,August,34,21,Thursday,2008-08
235,2008-08-22,20080822,2008,3,8,August,34,22,Friday,2008-08
236,2008-08-23,20080823,2008,3,8,August,34,23,Saturday,2008-08
237,2008-08-24,20080824,2008,3,8,August,34,24,Sunday,2008-08
238,2008-08-25,20080825,2008,3,8,August,35,25,Monday,2008-08
239,2008-08-26,20080826,2008,3,8,August,35,26,Tuesday,2008-08
240,2008-08-27,20080827,2008,3,8,August,35,27,Wednesday,2008-08
241,2008-08-28,20080828,2008,3,8,August,35,28,Thursday,2008-08
242,2008-08-29,20080829,2008,3,8,August,35,29,Friday,2008-08
243,2008-08-30,20080830,2008,3,8,August,35,30,Saturday,2008-08
244,2008-08-31,20080831,2008,3,8,August,35,31,Sunday,2008-08
245,2008-09-01,20080901,2008,3,9,September,36,1,Monday,2008-09
246,2008-09-02,20080902,2008,3,9,September,36,2,Tuesday,2008-09
247,2008-09-03,20080903,2008,3,9,September,36,3,Wednesday,2008-09
248,2008-09-04,20080904,2008,3,9,September,36,4,Thursday,2008-09
249,2008-09-05,20080905,2008,3,9,September,36,5,Friday,2008-09
250,2008-09-06,20080906,2008,3,9,September,36,6,Saturday,2008-09
251,2008-09-07,20080907,2008,3,9,September,36,7,Sunday,2008-09
252,2008-09-08,20080908,2008,3,9,September,37,8,Monday,2008-09
253,2008-09-09,20080909,2008,3,9,September,37,9,Tuesday,2008-09
254,2008-09-10,20080910,2008,3,9,September,37,10,Wednesday,2008-09
255,2008-09-11,20080911,2008,3,9,September,37,11,Thursday,2008-09
256,2008-09-12,20080912,2008,3,9,September,37,12,Friday,2008-09
257,2008-09-13,20080913,2008,3,9,September,37,13,Saturday,2008-09
258,2008-09-14,20080914,2008,3,9,September,37,14,Sunday,2008-09
259,2008-09-15,20080915,2008,3,9,September,38,15,Monday,2008-09
260,2008-09-16,20080916,2008,3,9,September,38,16,Tuesday,2008-09
261,2008-09-17,20080917,2008,3,9,September,38,17,Wednesday,2008-09
262,2008-09-18,20080918,2008,3,9,September,38,18,Thursday,2008-09
263,2008-09-19,20080919,2008,3,9,September,38,19,Friday,2008-09
264,2008-09-20,20080920,2008,3,9,September,38,20,Saturday,2008-09
265,2008-09-21,20080921,2008,3,9,September,38,21,Sunday,2008-09
266,2008-09-22,20080922,2008,3,9,September,39,22,Monday,2008-09
267,2008-09-23,20080923,2008,3,9,September,39,23,Tuesday,2008-09
268,2008-09-24,20080924,2008,3,9,September,39,24,Wednesday,2008-09
269,2008-09-25,20080925,2008,3,9,September,39,25,Thursday,2008-09
270,2008-09-26,20080926,2008,3,9,September,39,26,Friday,2008-09
271,2008-09-27,20080927,2008,3,9,September,39,27,Saturday,2008-09
272,2008-09-28,20080928,2008,3,9,September,39,28,Sunday,2008-09
273,2008-09-29,20080929,2008,3,9,September,40,29,Monday,2008-09
274,2008-09-30,20080930,2008,3,9,September,40,30,Tuesday,2008-09
275,2008-10-01,20081001,2008,4,10,October,40,1,Wednesday,2008-10
276,2008-10-02,20081002,2008,4,10,October,40,2,Thursday,2008-10
277,2008-10-03,20081003,2008,4,10,October,40,3,Friday,2008-10
278,2008-10-04,20081004,2008,4,10,October,40,4,Saturday,2008-10
279,2008-10-05,20081005,2008,4,10,October,40,5,Sunday,2008-10
280,2008-10-06,20081006,2008,4,10,October,41,6,Monday,2008-10
281,2008-10-07,20081007,2008,4,10,October,41,7,Tuesday,2008-10
282,2008-10-08,20081008,2008,4,10,October,41,8,Wednesday,2008-10
283,2008-10-09,20081009,2008,4,10,October,41,9,Thursday,2008-10
284,2008-10-10,20081010,2008,4,10,October,41,10,Friday,2008-10
285,2008-10-11,20081011,2008,4,10,October,41,11,Saturday,2008-10
286,2008-10-12,20081012,2008,4,10,October,41,12,Sunday,2008-10
287,2008-10-13,20081013,2008,4,10,October,42,13,Monday,2008-10
288,2008-10-14,20081014,2008,4,10,October,42,14,Tuesday,2008-10
289,2008-10-15,20081015,2008,4,10,October,42,15,Wednesday,2008-10
290,2008-10-16,20081016,2008,4,10,October,42,16,Thursday,2008-10
291,2008-10-17,20081017,2008,4,10,October,42,17,Friday,2008-10
292,2008-10-18,20081018,2008,4,10,October,42,18,Saturday,2008-10
293,2008-10-19,20081019,2008,4,10,October,42,19,Sunday,2008-10
294,2008-10-20,20081020,2008,4,10,October,43,20,Monday,2008-10
295,2008-10-21,20081021,2008,4,10,October,43,21,Tuesday,2008-10
296,2008-10-22,20081022,2008,4,10,October,43,22,Wednesday,2008-10
297,2008-10-23,20081023,2008,4,10,October,43,23,Thursday,2008-10
298,2008-10-24,20081024,2008,4,10,October,43,24,Friday,2008-10
299,2008-10-25,20081025,2008,4,10,October,43,25,Saturday,2008-10
300,2008-10-26,20081026,2008,4,10,October,43,26,Sunday,2008-10
301,2008-10-27,20081027,2008,4,10,October,44,27,Monday,2008-10
302,2008-10-28,20081028,2008,4,10,October,44,28,Tuesday,2008-10
303,2008-10-29,20081029,2008,4,10,October,44,29,Wednesday,2008-10
304,2008-10-30,20081030,2008,4,10,October,44,30,Thursday,2008-10
305,2008-10-31,20081031,2008,4,10,October,44,31,Friday,2008-10
306,2008-11-01,20081101,2008,4,11,November,44,1,Saturday,2008-11
307,2008-11-02,20081102,2008,4,11,November,44,2,Sunday,2008-11
308,2008-11-03,20081103,2008,4,11,November,45,3,Monday,2008-11
309,2008-11-04,20081104,2008,4,11,November,45,4,Tuesday,2008-11
310,2008-11-05,20081105,2008,4,11,November,45,5,Wednesday,2008-11
311,2008-11-06,20081106,2008,4,11,November,45,6,Thursday,2008-11
312,2008-11-07,20081107,2008,4,11,November,45,7,Friday,2008-11
313,2008-11-08,20081108,2008,4,11,November,45,8,Saturday,2008-11
314,2008-11-09,20081109,2008,4,11,November,45,9,Sunday,2008-11
315,2008-11-10,20081110,2008,4,11,November,46,10,Monday,2008-11
316,2008-11-11,20081111,2008,4,11,November,46,11,Tuesday,2008-11
317,2008-11-12,20081112,2008,4,11,November,46,12,Wednesday,2008-11
318,2008-11-13,20081113,2008,4,11,November,46,13,Thursday,2008-11
319,2008-11-14,20081114,2008,4,11,November,46,14,Friday,2008-11
320,2008-11-15,20081115,2008,4,11,November,46,15,Saturday,2008-11
321,2008-11-16,20081116,2008,4,11,November,46,16,Sunday,2008-11
322,2008-11-17,20081117,2008,4,11,November,47,17,Monday,2008-11
323,2008-11-18,20081118,2008,4,11,November,47,18,Tuesday,2008-11
324,2008-11-19,20081119,2008,4,11,November,47,19,Wednesday,2008-11
325,2008-11-20,20081120,2008,4,11,November,47,20,Thursday,2008-11
326,2008-11-21,20081121,2008,4,11,November,47,21,Friday,2008-11
327,2008-11-22,20081122,2008,4,11,November,47,22,Saturday,2008-11
328,2008-11-23,20081123,2008,4,11,November,47,23,Sunday,2008-11
329,2008-11-24,20081124,2008,4,11,November,48,24,Monday,2008-11
330,2008-11-25,20081125,2008,4,11,November,48,25,Tuesday,2008-11
331,2008-11-26,20081126,2008,4,11,November,48,26,Wednesday,2008-11
332,2008-11-27,20081127,2008,4,11,November,48,27,Thursday,2008-11
333,2008-11-28,20081128,2008,4,11,November,48,28,Friday,2008-11
334,2008-11-29,20081129,2008,4,11,November,48,29,Saturday,2008-11
335,2008-11-30,20081130,2008,4,11,November,48,30,Sunday,2008-11
336,2008-12-01,20081201,2008,4,12,December,49,1,Monday,2008-12
337,2008-12-02,20081202,2008,4,12,December,49,2,Tuesday,2008-12
338,2008-12-03,20081203,2008,4,12,December,49,3,Wednesday,2008-12
339,2008-12-04,20081204,2008,4,12,December,49,4,Thursday,2008-12
340,2008-12-05,20081205,2008,4,12,December,49,5,Friday,2008-12
341,2008-12-06,20081206,2008,4,12,December,49,6,Saturday,2008-12
342,2008-12-07,20081207,2008,4,12,December,49,7,Sunday,2008-12
343,2008-12-08,20081208,2008,4,12,December,50,8,Monday,2008-12
344,2008-12-09,20081209,2008,4,12,December,50,9,Tuesday,2008-12
345,2008-12-10,20081210,2008,4,12,December,50,10,Wednesday,2008-12
346,2008-12-11,20081211,2008,4,12,December,50,11,Thursday,2008-12
347,2008-12-12,20081212,2008,4,12,December,50,12,Friday,2008-12
348,2008-12-13,20081213,2008,4,12,December,50,13,Saturday,2008-12
349,2008-12-14,20081214,2008,4,12,December,50,14,Sunday,2008-12
350,2008-12-15,20081215,2008,4,12,December,51,15,Monday,2008-12
351,2008-12-16,20081216,2008,4,12,December,51,16,Tuesday,2008-12
352,2008-12-17,20081217,2008,4,12,December,51,17,Wednesday,2008-12
353,2008-12-18,20081218,2008,4,12,December,51,18,Thursday,2008-12
354,2008-12-19,20081219,2008,4,12,December,51,19,Friday,2008-12
355,2008-12-20,20081220,2008,4,12,December,51,20,Saturday,2008-12
356,2008-12-21,20081221,2008,4,12,December,51,21,Sunday,2008-12
357,2008-12-22,20081222,2008,4,12,December,52,22,Monday,2008-12
358,2008-12-23,20081223,2008,4,12,December,52,23,Tuesday,2008-12
359,2008-12-24,20081224,2008,4,12,December,52,24,Wednesday,2008-12
360,2008-12-25,20081225,2008,4,12,December,52,25,Thursday,2008-12
361,2008-12-26,20081226,2008,4,12,December,52,26,Friday,2008-12
362,2008-12-27,20081227,2008,4,12,December,52,27,Saturday,2008-12
363,2008-12-28,20081228,2008,4,12,December,52,28,Sunday,2008-12
364,2008-12-29,20081229,2008,4,12,December,1,29,Monday,2008-12
365,2008-12-30,20081230,2008,4,12,December,1,30,Tuesday,2008-12
366,2008-12-31,20081231,2008,4,12,December,1,31,Wednesday,2008-12
367,2009-01-01,20090101,2009,1,1,January,1,1,Thursday,2009-01
368,2009-01-02,20090102,2009,1,1,January,1,2,Friday,2009-01
369,2009-01-03,20090103,2009,1,1,January,1,3,Saturday,2009-01
370,2009-01-04,20090104,2009,1,1,January,1,4,Sunday,2009-01
371,2009-01-05,20090105,2009,1,1,January,2,5,Monday,2009-01
372,2009-01-06,20090106,2009,1,1,January,2,6,Tuesday,2009-01
373,2009-01-07,20090107,2009,1,1,January,2,7,Wednesday,2009-01
374,2009-01-08,20090108,2009,1,1,January,2,8,Thursday,2009-01
375,2009-01-09,20090109,2009,1,1,January,2,9,Friday,2009-01
376,2009-01-10,20090110,2009,1,1,January,2,10,Saturday,2009-01
377,2009-01-11,20090111,2009,1,1,January,2,11,Sunday,2009-01
378,2009-01-12,20090112,2009,1,1,January,3,12,Monday,2009-01
379,2009-01-13,20090113,2009,1,1,January,3,13,Tuesday,2009-01
380,2009-01-14,20090114,2009,1,1,January,3,14,Wednesday,2009-01
381,2009-01-15,20090115,2009,1,1,January,3,15,Thursday,2009-01
382,2009-01-16,20090116,2009,1,1,January,3,16,Friday,2009-01
383,2009-01-17,20090117,2009,1,1,January,3,17,Saturday,2009-01
384,2009-01-18,20090118,2009,1,1,January,3,18,Sunday,2009-01
385,2009-01-19,20090119,2009,1,1,January,4,19,Monday,2009-01
